detector,mode,dataset,class_name,shape,method,path,frames,detected,clips,clips_complete,clips_empty,box_width_px,clip_jitter,seconds_per_frame
haar,train,CelebDFv3,fake,wide,FaceSwap/HifiFace,FAKE/FaceSwap/HifiFace/id19_id28_0007.mp4,32,32,4,4,0,160.5,0.003362702179791028,0.02812299132347107
mtcnn,train,CelebDFv3,fake,wide,FaceSwap/HifiFace,FAKE/FaceSwap/HifiFace/id19_id28_0007.mp4,32,32,4,4,0,135.25,0.003986146555805948,0.012890808284282684
retinaface,train,CelebDFv3,fake,wide,FaceSwap/HifiFace,FAKE/FaceSwap/HifiFace/id19_id28_0007.mp4,32,32,4,4,0,133.5,0.0026196815183883175,0.028388172388076782
haar,train,CelebDFv3,fake,wide,FaceSwap/GHOST,FAKE/FaceSwap/GHOST/id28_id1_0008.mp4,32,32,4,4,0,149.5,0.0021776585807132282,0.02051423490047455
mtcnn,train,CelebDFv3,fake,wide,FaceSwap/GHOST,FAKE/FaceSwap/GHOST/id28_id1_0008.mp4,32,32,4,4,0,121.75,0.002576493960450536,0.01031050831079483
retinaface,train,CelebDFv3,fake,wide,FaceSwap/GHOST,FAKE/FaceSwap/GHOST/id28_id1_0008.mp4,32,32,4,4,0,126.5,0.0018717243877445543,0.0311872735619545
haar,train,CelebDFv3,fake,wide,FaceSwap/Celeb-DF-v2,FAKE/FaceSwap/Celeb-DF-v2/id35_id33_0000.mp4,32,32,4,4,0,118.0,0.00701280850756651,0.030223943293094635
mtcnn,train,CelebDFv3,fake,wide,FaceSwap/Celeb-DF-v2,FAKE/FaceSwap/Celeb-DF-v2/id35_id33_0000.mp4,32,32,4,4,0,97.75,0.005679490857717929,0.02412804216146469
retinaface,train,CelebDFv3,fake,wide,FaceSwap/Celeb-DF-v2,FAKE/FaceSwap/Celeb-DF-v2/id35_id33_0000.mp4,32,32,4,4,0,100.25,0.004510668298729297,0.03120749443769455
haar,train,CelebDFv3,fake,wide,FaceSwap/UniFace,FAKE/FaceSwap/UniFace/id38_id35_0005.mp4,32,32,4,4,0,124.75,0.0011880374755500597,0.026989169418811798
mtcnn,train,CelebDFv3,fake,wide,FaceSwap/UniFace,FAKE/FaceSwap/UniFace/id38_id35_0005.mp4,32,32,4,4,0,84.25,0.0019028440324605836,0.031077340245246887
retinaface,train,CelebDFv3,fake,wide,FaceSwap/UniFace,FAKE/FaceSwap/UniFace/id38_id35_0005.mp4,32,32,4,4,0,90.0,0.0009838039920209971,0.031409889459609985
haar,train,CelebDFv3,fake,wide,FaceSwap/SimSwap,FAKE/FaceSwap/SimSwap/id55_id50_0003.mp4,32,32,4,4,0,98.5,0.0046395404768467315,0.0324232280254364
mtcnn,train,CelebDFv3,fake,wide,FaceSwap/SimSwap,FAKE/FaceSwap/SimSwap/id55_id50_0003.mp4,32,32,4,4,0,78.5,0.0039553284077038404,0.020211122930049896
retinaface,train,CelebDFv3,fake,wide,FaceSwap/SimSwap,FAKE/FaceSwap/SimSwap/id55_id50_0003.mp4,32,32,4,4,0,82.5,0.003436716733548939,0.0312579870223999
haar,train,CelebDFv3,fake,wide,FaceSwap/MobileFaceSwap,FAKE/FaceSwap/MobileFaceSwap/id4_id20_0006.mp4,32,32,4,4,0,279.75,0.019599106757989267,0.027333125472068787
mtcnn,train,CelebDFv3,fake,wide,FaceSwap/MobileFaceSwap,FAKE/FaceSwap/MobileFaceSwap/id4_id20_0006.mp4,32,32,4,4,0,215.0,0.014381392266426582,0.042683713138103485
retinaface,train,CelebDFv3,fake,wide,FaceSwap/MobileFaceSwap,FAKE/FaceSwap/MobileFaceSwap/id4_id20_0006.mp4,32,32,4,4,0,204.0,0.012857238964904153,0.03851451724767685
haar,train,CelebDFv3,fake,wide,FaceSwap/UniFace,FAKE/FaceSwap/UniFace/id30_id3_0006.mp4,32,32,4,4,0,129.0,0.0022235048487534753,0.02752649039030075
mtcnn,train,CelebDFv3,fake,wide,FaceSwap/UniFace,FAKE/FaceSwap/UniFace/id30_id3_0006.mp4,32,32,4,4,0,102.25,0.006744703808935597,0.013017132878303528
retinaface,train,CelebDFv3,fake,wide,FaceSwap/UniFace,FAKE/FaceSwap/UniFace/id30_id3_0006.mp4,32,32,4,4,0,109.0,0.002078781899242698,0.03127114474773407
haar,train,CelebDFv3,fake,wide,FaceSwap/MobileFaceSwap,FAKE/FaceSwap/MobileFaceSwap/id16_id30_0000.mp4,32,32,4,4,0,177.0,0.006294529713074133,0.024589046835899353
mtcnn,train,CelebDFv3,fake,wide,FaceSwap/MobileFaceSwap,FAKE/FaceSwap/MobileFaceSwap/id16_id30_0000.mp4,32,32,4,4,0,141.5,0.006319284103769687,0.010629914700984955
retinaface,train,CelebDFv3,fake,wide,FaceSwap/MobileFaceSwap,FAKE/FaceSwap/MobileFaceSwap/id16_id30_0000.mp4,32,32,4,4,0,142.25,0.005556973815370311,0.035060666501522064
haar,train,CelebDFv3,fake,wide,FaceSwap/Celeb-DF-v2,FAKE/FaceSwap/Celeb-DF-v2/id21_id16_0000.mp4,32,32,4,4,0,188.5,0.013211875827127826,0.016686752438545227
mtcnn,train,CelebDFv3,fake,wide,FaceSwap/Celeb-DF-v2,FAKE/FaceSwap/Celeb-DF-v2/id21_id16_0000.mp4,32,32,4,4,0,142.0,0.01078115240367755,0.010922595858573914
retinaface,train,CelebDFv3,fake,wide,FaceSwap/Celeb-DF-v2,FAKE/FaceSwap/Celeb-DF-v2/id21_id16_0000.mp4,32,32,4,4,0,140.75,0.008755159259675122,0.03117409348487854
haar,train,CelebDFv3,fake,wide,FaceSwap/BlendFace,FAKE/FaceSwap/BlendFace/id30_id4_0004.mp4,32,32,4,4,0,133.25,0.0015255889495847988,0.01960175484418869
mtcnn,train,CelebDFv3,fake,wide,FaceSwap/BlendFace,FAKE/FaceSwap/BlendFace/id30_id4_0004.mp4,32,32,4,4,0,107.75,0.004204960705671421,0.015665575861930847
retinaface,train,CelebDFv3,fake,wide,FaceSwap/BlendFace,FAKE/FaceSwap/BlendFace/id30_id4_0004.mp4,32,32,4,4,0,110.0,0.002486469780090251,0.03155149519443512
haar,train,CelebDFv3,fake,wide,FaceSwap/GHOST,FAKE/FaceSwap/GHOST/id33_id21_0004.mp4,32,32,4,4,0,137.25,0.06074395491255566,0.014234110713005066
mtcnn,train,CelebDFv3,fake,wide,FaceSwap/GHOST,FAKE/FaceSwap/GHOST/id33_id21_0004.mp4,32,32,4,4,0,108.75,0.005383624163218829,0.01178094744682312
retinaface,train,CelebDFv3,fake,wide,FaceSwap/GHOST,FAKE/FaceSwap/GHOST/id33_id21_0004.mp4,32,32,4,4,0,112.0,0.006484965956822419,0.03302805870771408
haar,train,CelebDFv3,fake,wide,FaceSwap/GHOST,FAKE/FaceSwap/GHOST/id28_id6_0001.mp4,32,32,4,4,0,149.5,0.0024213979933449094,0.04197154939174652
